x	y
28.736908157606837	5403.209892651977
35.98048360636685	5129.4027412753285
47.01923644453751	5280.488312163898
64.30145913925894	5372.278278786936
83.68837568710536	5223.85649528193
86.39782008426441	5334.24849822978
102.03512559947252	5090.191933721517
117.44417960493605	4942.326939201226
140.10225602087218	4986.860714164741
144.8698204779478	4836.428445721061
171.94028407128252	5194.87986344576
174.52514902396322	5149.116161537115
193.04339806867506	5013.196898728654
202.96876394725678	4938.414563994638
220.76520817058616	5048.48433299505
231.6146848938169	5043.554983116503
244.19917735391104	4651.157532162084
248.6130085942525	4780.671489089978
269.98119605668666	4953.54285449828
276.2144205730036	4662.414527039825
290.3210138965029	4687.177446621157
302.2339267468646	4457.30339578491
315.5705942589134	4451.793080355157
319.9855460054484	4759.748505403693
334.142855513104	4534.780738411936
340.6317347330941	4735.6121575583975
351.6108805734566	4400.685511734726
396.5702831578673	4513.483607875988
398.7441255349875	4604.267793233792
401.7423943122882	4378.004197119463
406.5301919703079	4373.751545431291
452.8226544650877	4369.570342369172
466.16165989206445	4252.031749574436
484.5945860450217	4227.6833542218565
484.75992444793013	4223.951451918983
514.3536130738971	4217.99299882182
533.443443144139	3964.014755386131
545.8146841047692	4115.036983423573
554.7753235429585	4055.286261791468
558.3504062849468	4087.431287112082
588.4403406503311	4113.369853319693
595.9277521294758	4196.927411921142
597.4775530942015	4000.131969170683
603.5017093390829	3979.6145810335615
623.8610440477497	3912.2656137090794
640.0604323127732	3802.2896058595097
643.2495825625597	4075.7592975467146
649.4433867943067	3683.15331868065
655.646226927799	3885.5472151469917
673.6047167923078	3760.3631642921255
676.7342644174149	4073.1155351003877
716.1743516071966	4030.2377213090854
722.4155570241197	3982.0230746551524
